id;goal;social goals;communication and contact;volunteer work and idealism;career goals;grades;duration of studies;graduation;orientation;job opportunities;networking;status and wealth;safety;educational goals;knowledge;comprehension;competences;personal growth;scientific methods;concrete goals;practical experiences;going abroad;foreign languages;temporal scope;within this semester;within studies;beyond studies;private or professional;professional;private;other tags;nonsense;fun, happiness, satisfaction;S.M.A.R.T.;programming;too vague;sport
394;persönliche Weiterbildung in fachbereichsfremden Veranstaltungen der Uni;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
395;Praktikum;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
396;Promotion oder direkt ins Ref.;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
397;Ich möchte mir ein besonders umfangreiches Fachwissen in meinem Studiengang aneignen, mein Ziel sind sehr gute Noten.;False;False;False;True;True;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;False;False;False;False;False;False;False
398;Prestige;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
399;Jobchancen;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
400;Spaß;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False
401;Möglichst wenig Aufwand;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
402;Die Inhalte des Studiums auf meinen Alltag übertragen und Sinn und Zweck erkennen;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
403;Etwas fürs Leben zu lernen und nicht nur um die Prüfungen zu bestehen, sondern mein ganzes Leben lang von meinem Studium profitieren;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False
404;Ein Auslandssemester machen;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;False;True;False;True;True;False;True;False;False;True;False;False;False
405;Ein Praktikum abschließen;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;True;True;False;True;False;False;True;False;False;False
406;Eine Fremdsprache verbessert haben;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False
407;eine Leidenschaft für einen bestimmten Themenbereich gefunden haben.;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
408;gutes Menschenverständnis haben.;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
409;besser Entscheidungen treffen können, die mich oder andere Menschen betreffen.;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
410;Forschungserfahrung sammeln;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
411;Meine Masterarbeit in einem zukunftsgewandten Bereich schreiben;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;False;False;False;False;False;False;False
412;Interessante Module in meinen Schwerpunkten abschließen;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;False;False;False;False;False;False;False
413;Module abschließen, die mich fordern;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;False;False;False;False;False;False;False
414;Module abschließen, in die ich Zeit investieren muss, um sie zu verstehen;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;True;False;True;False;True;True;False;False;False;False;False;False;False;False
415;Kritisches Denken lernen;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
416;Vernetzung und Austausch;True;True;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
417;für Beruf relevantes lernen;False;False;False;True;False;False;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
418;Hohe Verdienstmöglichkeiten;False;False;False;True;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;False;False;False;False;False;False;False;False
419;Absicherung für die Zukunft;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False
420;Zukünftig meine Mutter unterstützen können (bei Studiumsabschluss);True;False;True;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False
421;Während meines Studiums erfolgreiche Projekte abschließen;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;False;False;False;False;False;False;False
422;Balance aus Leistung und Persönlichkeitsentwicklung;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
423;Mit jeder Aufgabe weiter zu wachsen;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
424;Zufriedenheit und Selbstwirksamkeit erfahren;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False
425;Ein sinnstiftendes PhD machen;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
426;Eine break throught Publikation veröffentlichen;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
427;Ein Praktikum im Bereich der Bewusstseinsforschung;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
428;Einen sicheren Job ergreifen können;False;False;False;True;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;False;False;False;False;False;False;False;False
429;Persönlichkeitsbildung;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
430;Neue Erfahrungen sammeln;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False
431;Grundlagen für meinen späteren Beruf schaffen;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;False;False;False;False;False;False;False;False
432;breitgefächertes Grundwissen aneignen;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
433;Kompetenzen im Bereich Virtual Reality;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;False;False;False;False;False;True;True;False;False;False;False;False;True;False;False
434;Programmierfähigkeiten aufbauen;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False
435;Guter Abschluss;False;False;False;True;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;False;False;False;False;False;False;False
436;Kritisches Denken;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
437;Learn artificial intelligence techniques and concepts.;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
438;Neuropsychologe werden;False;False;False;True;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;False;False;False;False;False;False;False;False
439;in die forschung zu gehen;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
440;Sozialkompetenzen erweitern;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
441;Ein breit gefächertes Allgemeinwissen;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
442;Wissentschafliches Arbeiten verstehen;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
443;Fitter werden;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False
444;Mich persönlich weiter entwickeln.;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
445;Das wissenschaftliche Arbeiten erlernen.;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
446;Den menschlichen Gedankenprozess besser verstehen.;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
447;Erfahrungen im Ausland sammeln.;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
448;Ich will meine Allgemeinbildung in vielen Bereichen fördern.;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
449;Selbständig arbeiten können;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
450;Meine Perspektive erweitern ;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
451;Die Menschheit bereichern;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
452;Meine Interessen zu vertiefen und auszuweiten.;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
453;Angebrachte Leistungen/gute Noten.;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;False;False;False;False;False;False;False
454;Einblick in zukünftige, mögliche Berufsfelder erhalten.;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;False;False;False;False;False;False;False;False
455;Selbstständiges Lernen, angebrachten Aufwand erbringen.;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
456;Bewusstsein verstehen und simulieren.;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
457;Mich in unterschiedlichen Bereichen weiterbilden.;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
458;Lernprozesse des Menschen verstehen.;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
459;Studium erfolgreich beenden;False;False;False;True;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;False;False;False;False;False;False;False
460;Unsicherheit in Mathe und Informatik verlieren;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
461;Einblicke in mir unbekannte Themengebiete;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
462;einen einblick in der Welt meines Fachs bekommen;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
463;mehr Erfahrungen, die mit meiner profesionellen Zukunft zu tun haben;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
464;Ein sehr guter Abschluss;False;False;False;True;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;False;False;False;False;False;False;False
465;Mein Studium mit einer guten Note abschließen. In der Hirnforschung tätig sein. ;False;False;False;True;True;False;True;False;True;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
466;Meinen Horizont zu erweitern ;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
467;Programmieren lernen.;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False
468;Das menschliche Gehirn verstehen.;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
469;Die Wissenschaft in der KI Forschung voranzubringen ;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
470;Funktionsweise von K.I. besser verstehen und entwickeln;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
471;ein starkes Team mit weiteren Kommilitonen bilden;True;True;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
472;B.Sc. Cognitive Science;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;True;False;False;True;False;False;False
473;Master of Science;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;True;False;False;True;False;False;False
474;Auslandsaufenthalt in Québec;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False
475;Tutor werden;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;True;True;False;True;False;False;True;False;False;False
476;Programmierkenntnisse;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False
477;Französischkenntnisse;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False
478;Berufsperspektive: Prothesen;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;False;False;False;False;False;False;False;False
479;Softwarekenntnisse: z.B. Matlab;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
480;Praktikum: Optogenetik;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;True;True;False;True;False;False;True;False;False;False
481;Berufsperspektive: Neurobiologie;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;False;False;False;False;False;False;False;False
482;Berufsperspektive: Robotik;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;False;False;False;False;False;False;False;False
483;Mein Studium abschließen;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;False;False;False;False;False;False;False
484;Die Qualifikation für einen spannenden Master bekommen;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
485;Über den ethischen Einsatz von KI lernen;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
486;Wissenschaftliches Arbeiten und Methoden erlernen;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
487;kritisches Denken verbessern;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
488;Erlernen neuer Bereiche;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
489;glücklich sein;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False
490;harmony in the world;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False
491;to find peace;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False
492;Understand why humans seem to act selfdestructively ;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
493;selbstständiger in der Lebensführung/-planung werden;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
494;Erweiterung meines Wissens und meiner Kompetenzen auf dem Studiengebiet;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
495;Horizont erweitern;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
496;Erfahrungen sammeln;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False
497;Wissen aneignen;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
498;Faehigkeiten sammeln, um erfolgreich und sicher in den Beruf zu starten;False;False;False;True;False;False;False;False;True;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
499;interdisziplinärer Austausch unter Studierenden;True;True;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
500;Größeres Verständnis des Gehirns;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
501;Verbesserung meiner Programmierkenntnisse;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False
502;neue Berufsfelder kennenlernen;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
503;außerstudiums Erfahrungen ;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
504;freunde;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False
505;Wissen erlangen;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
506;Bildung auf mir möglichst hohem Niveau;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
507;schnell fertig werden;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;False;False;False;False;False;False;False
508;Studium abschließen, Das richtige Studium finden ;False;False;False;True;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;False;False;False;False;False;False;False
509;Promotion und LL.M. ;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;True;False;True;False;False;True;False;False;False
510;Selbstständiges Arbeiten erlernen;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
511;Ein Semester im Ausland studieren ;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;False;True;False;True;True;False;True;False;False;True;False;False;False
512;Einen Unisportkurs belegen;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;True;False;True;False;True;True;False;False;True;False;False;True
513;Umweltschutz;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False
514;Wissenschaft;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False
515;Forschung;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False
516;Innovation;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False
517;Fortschritt;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False
518;Master erreichen;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;False;False;False;False;False;False;False
519;mehr Stunden am Tag effektiv produktiv sein;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
520;Bachelorabschluss;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;True;False;False;True;False;False;False
521;weniger Stress;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False
522;gute Qualifikation;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
523;Auslandsaufenthalt;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
524;nachhaltig Spaß am Lernen entwickeln;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False
525;Fremdsprache lernen;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False
526;Fähigkeiten;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False
527;Auslandssemester;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False
528;Englischkentnisse verbessern;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False
529;selbst aktiv Forschung betreiben;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
530;einen passenden Masterstudiengang finden;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
531;Studiumsabschluss;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;False;False;False;False;False;False;False
532;Mein Studium abschließen;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;False;False;False;False;False;False;False
533;Nichts mehr aufschieben;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
534;Neben der Uni ein gutes Sozialleben haben;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;False;True;True;False;True;False;False;False;False
535;Mich auf Psychologie und Neurologie fokussieren;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
536;Erfolgreich in Klausuren sein;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;False;False;False;False;False;False;False
537; Erfolgreich das Studium in der Regelstudienzeit beenden.;False;False;False;True;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;True;False;False;True;False;False;False
538;Eine weitere Fremdsprache lernen;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False
539;Lesepensum schaffen.;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
540;Bachelor, wissen;False;False;False;True;False;False;True;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;False;False;False;False;False;False;False
541;Skills aneignen;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False
542;Lernen wie man verkaufbare Produkte/Software/Dienstleistungen erstellt.;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;False;False;False;False;False;True;True;False;False;False;False;False;True;False;False
543;Mein studium in der Regelzeit abschließen;False;False;False;True;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;True;False;False;True;False;False;False
544;Meine Promotion abschliessen;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;True;False;True;False;False;True;False;False;False
